repo,path_at_head,lfs_sha256,size_bytes,at_head
market-screener-backtests,market_data.duckdb,a7f1a533d2688287ea65d4ce73c9aae0c796f7305c955fcf2fc9bbb9084fe1bf,759443456,1
global-market-research-platform,,26581f056322f623d096cbafdf6be8400d7dcca53a6ce6913fa7bc8e53ad7118,633133440,0
global-market-research-platform,,2d30997b46357314fdfb9d8ffb588fc62034cfa3d6ddd6072905ae51943f55f7,633133440,0
working-files,market-pipeline-data/correlation_scan/correlation_scan.duckdb,72b57fcf8c467455d94160afac6a735561afc1acb7246a9c868913b9380b1f6c,346304512,1
global-stock-screener,cache_seed/ltm/US.parquet,548ec3306d662cd0de021a2af0cad42a3c5fb1407acb12aeb80e941d6a227267,246486311,1
global-market-data-archive-2026-07-17,,548ec3306d662cd0de021a2af0cad42a3c5fb1407acb12aeb80e941d6a227267,246486311,0
global-stock-screener-archive-2026-07-17,cache_seed/ltm/US.parquet,548ec3306d662cd0de021a2af0cad42a3c5fb1407acb12aeb80e941d6a227267,246486311,1
global-market-data,,548ec3306d662cd0de021a2af0cad42a3c5fb1407acb12aeb80e941d6a227267,246486311,0
working-files,,a9ce940b92c2208eaf9d2211b2b3124506e463b50f3d540076773adea0774f97,244637746,0
working-files-archive-2026-07-17,,a9ce940b92c2208eaf9d2211b2b3124506e463b50f3d540076773adea0774f97,244637746,0
global-stock-screener,cache_seed/ltm/CN.parquet,fd336965eb97d0548f2f79c01842d982c1f440851ec010b9b15b22dd61758b4e,183452779,1
global-market-data-archive-2026-07-17,,fd336965eb97d0548f2f79c01842d982c1f440851ec010b9b15b22dd61758b4e,183452779,0
global-stock-screener-archive-2026-07-17,cache_seed/ltm/CN.parquet,fd336965eb97d0548f2f79c01842d982c1f440851ec010b9b15b22dd61758b4e,183452779,1
global-market-data,,fd336965eb97d0548f2f79c01842d982c1f440851ec010b9b15b22dd61758b4e,183452779,0
working-files,,233ea9f9fcc8631c7abc4da6b37949d43007443b5c5f8c8d30e7d94cb73ffa3f,182935335,0
working-files-archive-2026-07-17,,233ea9f9fcc8631c7abc4da6b37949d43007443b5c5f8c8d30e7d94cb73ffa3f,182935335,0
global-market-research-platform,Downloads/market_cache/ohlc_all.parquet,74f9a96f15281f5eebc94ad588c37543163e529e85c54b3f1074cc8b705cf28c,156973403,1
global-market-data-archive-2026-07-17,cache_seed/ltm/CN.parquet,4c715564dfcfca5aabedf32d49b0aca093a9a1cd80287ef8475122895f38645f,142159282,1
global-market-data,cache_seed/ltm/CN.parquet,4c715564dfcfca5aabedf32d49b0aca093a9a1cd80287ef8475122895f38645f,142159282,1
global-market-research-platform,Downloads/data/us_correlation_scan/us_correlation_matrix.parquet,d03ec2311e1f8a60f877ce435f2fc71d4a6c7dcd348adebe7bfdab805eb10513,135646137,1
global-stock-screener,cache_seed/ltm/JP.parquet,cea8892ed1e5dba73772fe4d1c531c33ccb2aa7b9c51700625af4c63bb2474af,120870833,1
global-market-data-archive-2026-07-17,,cea8892ed1e5dba73772fe4d1c531c33ccb2aa7b9c51700625af4c63bb2474af,120870833,0
global-stock-screener-archive-2026-07-17,cache_seed/ltm/JP.parquet,cea8892ed1e5dba73772fe4d1c531c33ccb2aa7b9c51700625af4c63bb2474af,120870833,1
global-market-data,,cea8892ed1e5dba73772fe4d1c531c33ccb2aa7b9c51700625af4c63bb2474af,120870833,0
working-files,,b2e9d449c438c2eb9939781fbe3f0545885e0cbd0fed1e5c0e6c9a86236d1054,120524424,0
working-files-archive-2026-07-17,,b2e9d449c438c2eb9939781fbe3f0545885e0cbd0fed1e5c0e6c9a86236d1054,120524424,0
global-market-research-platform,,a4e6bb12cf69b0db628f9e5080b5f2c058af48bee49eec83d39fb4ea48db3ea0,118763670,0
global-market-research-platform,,ddd08f79bfe82b20fff6aad0a7a99aba56df515a086932d9e7970f556de1f6b5,117420803,0
global-market-research-platform,market-pipeline/code/python_files/cache_seed/factorial_screener_signals_us.parquet,33e62818122b58aad5db64521eb500f6ef5e2b5abd64703f8d9025ce9d1a6952,117266254,1
global-market-research-platform,,b3f193d19e38784294a31f511d4da34795d2ac4849323521ebfae094b7c4f2a7,115989087,0
market-data-artifacts-archive-2026-07-17,caches/edgar_facts.db,fc1b037980ed21159ae7790cb83eda6095c2f98a159e0319a714dd97b85783ae,107724800,1
market-data-artifacts,caches/edgar_facts.db,fc1b037980ed21159ae7790cb83eda6095c2f98a159e0319a714dd97b85783ae,107724800,1
global-market-data-archive-2026-07-17,cache_seed/ltm/US.parquet,7aa8c7cd226ba664452ccb69f30a29324454c602f8f3d201d7c2a2a9203b3bc5,102583122,1
global-market-data,cache_seed/ltm/US.parquet,7aa8c7cd226ba664452ccb69f30a29324454c602f8f3d201d7c2a2a9203b3bc5,102583122,1
global-market-research-platform,market-pipeline/code/python_files/cache_seed/factorial_screener_signals_CN_technical.parquet,a5d25ec3b14f3a1fda2fddeee7fb8d95e1379b6ac40a2f06f18a96ab86ea2bcd,102124554,1
global-market-research-platform,Downloads/data/china_scan/china_correlation_matrix.parquet,0ea948ec73ef656d0e1e243e80db2d5bbaf99254d8e78cb5f03173f33eac1a52,95641903,1
global-stock-screener,cache_seed/ltm/KR.parquet,9f9201ea1ff38a15a1beb54fb398056257ee8c5278688c5a284135b698adceaa,86741820,1
global-market-data-archive-2026-07-17,,9f9201ea1ff38a15a1beb54fb398056257ee8c5278688c5a284135b698adceaa,86741820,0
global-stock-screener-archive-2026-07-17,cache_seed/ltm/KR.parquet,9f9201ea1ff38a15a1beb54fb398056257ee8c5278688c5a284135b698adceaa,86741820,1
global-market-data,,9f9201ea1ff38a15a1beb54fb398056257ee8c5278688c5a284135b698adceaa,86741820,0
global-market-research-platform,,66f2909214076a5fc938bf3909017dac5b31d5fcb59d999d0fb38e50f43d8525,86669949,0
working-files,market-pipeline-data/cache_seed/circuit_breaker_backtest_US.parquet,66f2909214076a5fc938bf3909017dac5b31d5fcb59d999d0fb38e50f43d8525,86669949,1
global-market-research-platform,market-pipeline/code/python_files/cache_seed/factorial_screener_signals_JP_technical.parquet,255c46e9dda822fc88af9ebdb075ab09ef532045c3ae5ec080853ea8c02080c4,86480835,1
working-files,,982c150358b7c14f5edde495e97163b49277b2f2b477edf136148e9c9115c849,86280625,0
working-files-archive-2026-07-17,,982c150358b7c14f5edde495e97163b49277b2f2b477edf136148e9c9115c849,86280625,0
global-market-data-archive-2026-07-17,cache_seed/ltm/JP.parquet,a6ccc7eecb4e8e9f1fd05f84a8a1c2adfb0e8cdfda923feeb97a6168cfcaccb6,73139740,1
global-market-data,cache_seed/ltm/JP.parquet,a6ccc7eecb4e8e9f1fd05f84a8a1c2adfb0e8cdfda923feeb97a6168cfcaccb6,73139740,1
global-market-research-platform,Downloads/data/bhavcopy_cache/nse_deep.parquet,290325e605e8f9c75db1631b63bee5a8fdfa1bac949ce908db195ecf8556bf05,71156843,1
global-market-research-platform,,452768cfdfbdf4ef3e415fe394bb6bfe6fc158760f2992abca0657bf619b33f7,71066112,0
global-market-research-platform,,239ec9b784ebcea40dee1071ed51de146645e64b14a6c719e9b45ce9c86a3548,70531799,0
working-files,market-pipeline-data/cache_seed/circuit_breaker_backtest_JP.parquet,239ec9b784ebcea40dee1071ed51de146645e64b14a6c719e9b45ce9c86a3548,70531799,1
global-stock-screener,cache_seed/ltm/IN.parquet,1bab58a0df27ceb19894d8ca692936315e99d1e6a872725d29c74a3222b1fc3c,67868711,1
global-market-data-archive-2026-07-17,,1bab58a0df27ceb19894d8ca692936315e99d1e6a872725d29c74a3222b1fc3c,67868711,0
global-stock-screener-archive-2026-07-17,cache_seed/ltm/IN.parquet,1bab58a0df27ceb19894d8ca692936315e99d1e6a872725d29c74a3222b1fc3c,67868711,1
global-market-data,,1bab58a0df27ceb19894d8ca692936315e99d1e6a872725d29c74a3222b1fc3c,67868711,0
working-files,,2e676b95218b8700a0e3bbbc43576785de048564946fca8fc515d491c3a4c1fb,67623269,0
working-files-archive-2026-07-17,,2e676b95218b8700a0e3bbbc43576785de048564946fca8fc515d491c3a4c1fb,67623269,0
global-market-data-archive-2026-07-17,cache_seed/ltm/KR.parquet,f8c43e56b0b007a688130f49cb7e9cec33332859493975e3bc8e36b3f7187415,66665777,1
global-market-data,cache_seed/ltm/KR.parquet,f8c43e56b0b007a688130f49cb7e9cec33332859493975e3bc8e36b3f7187415,66665777,1
global-market-research-platform,,21bb4ede5271e28470af9e8b7582152cec91732a6683018d59a7daea7c6fc754,58801409,0
global-market-data-archive-2026-07-17,cache_seed/ltm/IN.parquet,7b102abe6b5fea8a3c4d1891f1909f426ee33000c207c237b602f9776195ab22,57586091,1
global-market-data,cache_seed/ltm/IN.parquet,7b102abe6b5fea8a3c4d1891f1909f426ee33000c207c237b602f9776195ab22,57586091,1
fuel-retail-outlets-archive-2026-07-17,api-data-integration/outlet_data_ssri_complete/ssri_all_pumps_20260712_095541.json,3fe507aa32fe43ebdcde66a272f14f488dc2c1b3c28e1449e1ed48588cf92a47,56395669,1
fuel-retail-outlets,api-data-integration/outlet_data_ssri_complete/ssri_all_pumps_20260712_095541.json,3fe507aa32fe43ebdcde66a272f14f488dc2c1b3c28e1449e1ed48588cf92a47,56395669,1
global-market-research-platform,market-pipeline/code/python_files/cache_seed/factorial_screener_signals_KR_technical.parquet,2d22608658fa3d973781f169a4c71371ef71810086ae2d0a999467277142db27,54021671,1
global-market-research-platform,Downloads/data/japan_scan/japan_correlation_matrix.parquet,5926dce3272f1f6bd06561ef523a749d5cac793c4732ab68ee2ee6bb3170a7b3,48649829,1
global-market-research-platform,,67819bf538b7ae95c7b9b42e1fd175f61ea093e20ed2bc5e440911ddd8038d7e,47369560,0
working-files,market-pipeline-data/cache_seed/regime_price_model_dataset.parquet,67819bf538b7ae95c7b9b42e1fd175f61ea093e20ed2bc5e440911ddd8038d7e,47369560,1
fuel-retail-outlets-archive-2026-07-17,api-data-integration/outlet_data_ssri_complete/ssri_all_pumps_deduplicated_20260712.json,cd1976f75b8e984d2301f2a96d29d49ffd0887740effad1b5d52079c45efe156,44445890,1
fuel-retail-outlets,api-data-integration/outlet_data_ssri_complete/ssri_all_pumps_deduplicated_20260712.json,cd1976f75b8e984d2301f2a96d29d49ffd0887740effad1b5d52079c45efe156,44445890,1
global-market-research-platform,,55135649af3c5d4e51010114c74d6c7c2906278680c53d4e5649a2b54be85475,44149681,0
working-files,market-pipeline-data/cache_seed/circuit_breaker_backtest_IN.parquet,55135649af3c5d4e51010114c74d6c7c2906278680c53d4e5649a2b54be85475,44149681,1
global-market-research-platform,,849b872dcff3d2e5861dc9e7800be5305b88b0116f0dad7255001753941d51dd,43691343,0
working-files,market-pipeline-data/cache_seed/circuit_breaker_backtest_KR.parquet,849b872dcff3d2e5861dc9e7800be5305b88b0116f0dad7255001753941d51dd,43691343,1
global-market-research-platform,,c142ea238346f8e695eed83f58130ae7510954d15e3ea2bb306ae0ff2147ecb7,35706752,0
global-market-research-platform,,58f10f9079a1a647ab995ebff2b85d41e5b9fee70b7e89d06b77b36ac7431235,35676612,0
global-market-research-platform,market-pipeline/code/python_files/cache_seed/factorial_screener_signals_IN_full.parquet,94b4943857f7324e445df66e97da727d5239359e772c7a1ce681cbf95f6eb356,35345459,1
global-market-research-platform,market-pipeline/code/python_files/cache_seed/factorial_screener_signals_IN_technical.parquet,f980c81d204f52a2e5a3a1bea9ca860c38f85b6f7c1028651d267f17877dcdf6,35079463,1
global-stock-screener,,b108426b78b7fc63063027f746eddf865c03d86e26fe7cfdb16e28c48f2bc67d,32062340,0
global-market-research-platform,Downloads/code/python_files/cache_seed/cleaned_long_US.parquet,b108426b78b7fc63063027f746eddf865c03d86e26fe7cfdb16e28c48f2bc67d,32062340,1
stock-screener-platform,Downloads/code/python_files/cache_seed/cleaned_long_US.parquet,b108426b78b7fc63063027f746eddf865c03d86e26fe7cfdb16e28c48f2bc67d,32062340,1
ocaml-stock-screener,Downloads/code/python_files/cache_seed/cleaned_long_US.parquet,b108426b78b7fc63063027f746eddf865c03d86e26fe7cfdb16e28c48f2bc67d,32062340,1
global-market-data-archive-2026-07-17,,b108426b78b7fc63063027f746eddf865c03d86e26fe7cfdb16e28c48f2bc67d,32062340,0
global-stock-screener-archive-2026-07-17,,b108426b78b7fc63063027f746eddf865c03d86e26fe7cfdb16e28c48f2bc67d,32062340,0
