repo,visibility,git_disk_kb,status,lfs_objects,lfs_bytes
global-market-research-platform,PUBLIC,346053,ok,279,3562396490
working-files,PUBLIC,269678,ok,125,1422506007
global-market-data-archive-2026-07-17,PRIVATE,909,ok,107,1310851893
global-market-data,PUBLIC,1012,ok,107,1310851893
global-stock-screener,PUBLIC,2935,ok,143,911506574
global-stock-screener-archive-2026-07-17,PRIVATE,2876,ok,135,900490592
market-screener-backtests,PUBLIC,759,ok,70,769724787
working-files-archive-2026-07-17,PRIVATE,266216,ok,49,736853199
market-data-artifacts-archive-2026-07-17,PRIVATE,5,ok,30,240135173
market-data-artifacts,PUBLIC,5,ok,30,240135173
fuel-retail-outlets-archive-2026-07-17,PRIVATE,6063,ok,30,237401200
fuel-retail-outlets,PUBLIC,6067,ok,30,237401200
stock-screener-platform,PUBLIC,64920,ok,58,192268395
ocaml-stock-screener,PUBLIC,64866,ok,58,192268395
stock-screener-platform-archive-2026-07-17,PRIVATE,64960,ok,58,192268395
event-driven-stock-analysis-archive-2026-07-17,PRIVATE,251,ok,19,45259622
event-driven-stock-analysis,PUBLIC,252,ok,19,45259622
BazaarTalks-archive-2026-07-17,PRIVATE,977,ok,7,11561505
BazaarTalks,PUBLIC,1029,ok,7,11561505
global-market-scanners,PUBLIC,1224,ok,6,2096946
agri-commodity-tracker,PUBLIC,55,ok,2,1859584
india-trade-tracker,PUBLIC,60,ok,1,1060864
cng-cgd-retail-outlet-mapping,PUBLIC,0,ok,0,0
india-trade-sector-policy-recommendations,PUBLIC,48582,ok,0,0
india-ec-subsector-analysis,PUBLIC,89,ok,0,0
digital-twin-for-ipa,PUBLIC,2617,ok,0,0
market-brief-base,PRIVATE,14,ok,0,0
focus-sector-investor-map,PUBLIC,461,ok,0,0
india-trade-data-analysis,PUBLIC,741,ok,0,0
mospi-dataset-analysis-public,PUBLIC,701,ok,0,0
mospi-dataset-analysis,PRIVATE,700,ok,0,0
prenatal-care-toolkit-archive-2026-07-17,PRIVATE,81,ok,0,0
repo-traffic-analytics,PRIVATE,9,ok,0,0
data_validator-archive-2026-07-17,PRIVATE,381,ok,0,0
Bazartalks_Py2Cplus-archive-2026-07-17,PRIVATE,393,ok,0,0
tools-handling_data-archive-2026-07-17,PRIVATE,0,ok,0,0
colab-experiments-archive-2026-07-17,PRIVATE,1,ok,0,0
discom-debt-and-revenue-models-archive-2026-07-17,PRIVATE,7,ok,0,0
stock-portfolio-evaluator-archive-2026-07-17,PRIVATE,14,ok,0,0
claude-lmstudio-router-archive-2026-07-17,PRIVATE,17,ok,0,0
ltm-warehouse-tests-archive-2026-07-17,PRIVATE,18,ok,0,0
toll-plaza-highways-archive-2026-07-17,PRIVATE,23,ok,0,0
europe-stock-screener-archive-2026-07-17,PRIVATE,32,ok,0,0
india-forex-analysis-archive-2026-07-17,PRIVATE,35,ok,0,0
hydrogen-electrolyser-control-archive-2026-07-17,PRIVATE,39,ok,0,0
karz-archive-2026-07-17,PRIVATE,56,ok,0,0
heart-valve-defect-detection-archive-2026-07-17,PRIVATE,60,ok,0,0
saf-monitoring-system-archive-2026-07-17,PRIVATE,68,ok,0,0
bms-battery-management-archive-2026-07-17,PRIVATE,76,ok,0,0
colab-market-fundamentals-archive-2026-07-17,PRIVATE,98,ok,0,0
claude-stock-tools-archive-2026-07-17,PRIVATE,169,ok,0,0
Merlin-archive-2026-07-17,PRIVATE,222,ok,0,0
piotroski-liquidity-research-archive-2026-07-17,PRIVATE,540,ok,0,0
india-trade-export-analysis-archive-2026-07-17,PRIVATE,927,ok,0,0
global-ticker-universe-archive-2026-07-17,PRIVATE,3055,ok,0,0
india-election-analysis-archive-2026-07-17,PRIVATE,25593,ok,0,0
ev-battery-management-sim-archive-2026-07-17,PRIVATE,258698,ok,0,0
stock-screener-ddd-archive-2026-07-17,PRIVATE,29,ok,0,0
interpreter_toolkit-archive-2026-07-17,PRIVATE,0,ok,0,0
global-ticker-universe,PUBLIC,3247,ok,0,0
data_validator,PUBLIC,381,ok,0,0
claude-lmstudio-router,PUBLIC,17,ok,0,0
bms-battery-management,PUBLIC,76,ok,0,0
toll-plaza-highways,PUBLIC,23,ok,0,0
piotroski-liquidity-research,PUBLIC,544,ok,0,0
Bazartalks_Py2Cplus,PUBLIC,563,ok,0,0
europe-stock-screener,PUBLIC,32,ok,0,0
prenatal-care-toolkit,PUBLIC,73,ok,0,0
stock-portfolio-evaluator,PUBLIC,14,ok,0,0
india-election-analysis,PUBLIC,25599,ok,0,0
colab-market-fundamentals,PUBLIC,113,ok,0,0
saf-monitoring-system,PUBLIC,70,ok,0,0
hydrogen-electrolyser-control,PUBLIC,39,ok,0,0
ltm-warehouse-tests,PUBLIC,18,ok,0,0
india-forex-analysis,PUBLIC,35,ok,0,0
Merlin,PUBLIC,235,ok,0,0
stock-screener-ddd,PUBLIC,29,ok,0,0
karz,PUBLIC,56,ok,0,0
interpreter_toolkit,PUBLIC,0,ok,0,0
tools-handling_data,PUBLIC,0,ok,0,0
ev-battery-management-sim,PUBLIC,258698,ok,0,0
cell-guardian,PUBLIC,258698,ok,0,0
heart-valve-defect-detection,PUBLIC,60,ok,0,0
india-trade-export-analysis,PUBLIC,927,ok,0,0
discom-debt-and-revenue-models,PUBLIC,7,ok,0,0
colab-experiments,PUBLIC,1,ok,0,0
claude-stock-tools,PUBLIC,171,ok,0,0
